run,z,cpu_s
0,45865.0645,3.4282
1,49779.1313,3.4497
2,51410.6336,3.4413
3,47418.5170,3.3784
4,48962.2505,3.4458
5,48159.4493,3.3342
6,51364.5823,3.3044
7,51089.6876,3.3475
8,50580.4445,3.3169
9,45749.9483,3.3610
10,46523.8156,3.3804
11,51738.3792,3.3223
12,45361.1130,3.3483
13,50817.6685,3.3477
14,46783.4030,3.2896
15,46411.3403,3.3455
16,45520.5978,3.4989
17,49364.0788,3.2757
18,50944.4628,3.3511
19,52989.5477,3.3918
