run,z,cpu_s
0,50575.9272,2.2722
1,45855.7202,2.2765
2,53768.3156,2.1884
3,51146.0999,2.1367
4,54969.3009,2.1908
5,53423.1214,2.1488
6,58148.5910,2.2208
7,51763.0909,2.1867
8,50563.4070,2.1990
9,56059.4559,2.2092
10,50769.6464,2.2291
11,50385.0769,2.1316
12,49570.5479,2.2134
13,53988.3007,2.1703
14,51201.8461,2.1775
15,52050.1790,2.2065
16,56075.9038,2.2302
17,57414.9522,2.2493
18,54944.0061,2.1262
19,56139.6061,2.1340
