T0,alpha,mean_z,std_z
500,0.5,50859.16,489.50
500,0.6,50859.16,489.50
500,0.7,50859.16,489.50
500,0.9,51525.54,1312.33
1000,0.5,50482.33,588.36
1000,0.6,50794.54,466.41
1000,0.7,50794.54,466.41
1000,0.9,51958.90,1907.77
2000,0.5,50631.54,322.79
2000,0.6,50462.36,868.50
2000,0.7,51257.56,1057.93
2000,0.9,51784.29,2371.61
5000,0.5,48934.08,2025.47
5000,0.6,52177.98,1711.06
5000,0.7,52426.25,989.30
5000,0.9,50908.00,1331.22
